,WMA value,OBV Value,VPT Value,Adj Close
392,2941.44,,,
393,2941.37,,,
394,2941.31,,,
395,2941.29,,,
396,2941.32,,,
397,2941.31,,,
398,2941.23,,,
399,2941.1,,,
400,2940.97,,,
401,2940.97,,,
402,2941.06,,,
403,2941.26,,,
404,2941.43,,,
405,2941.52,,,
406,2941.51,,,
407,2941.47,,,
408,2941.3,,,
409,2941.01,,,
410,2940.66,,,
411,2940.25,,,
412,2939.88,,,
413,2939.53,,,
414,2939.11,,,
415,2938.56,,,
416,2937.94,,,
417,2937.29,,,
418,2936.49,,,
419,2935.54,,,
420,2934.45,,,
421,2933.35,,,
422,2932.23,,,
423,2931.02,,,
424,2929.84,,,
425,2928.72,,,
426,2927.64,,,
427,2926.66,,,
428,2925.75,,,
429,2924.83,,,
430,2923.9,,,
431,2922.89,,,
432,2921.71,,,
433,2920.27,,,
434,2918.56,,,
435,2916.56,,,
436,2914.18,,,
437,2911.82,,,
438,2909.54,,,
439,2907.36,,,
440,2905.23,,,
441,2903.12,,,
442,2900.99,,,
443,2898.82,,,
444,2896.76,,,
445,2894.86,,,
446,2893.05,,,
447,2891.29,,,
448,2889.6,,,
449,2887.93,,,
450,2886.27,,,
451,2884.61,,,
452,2882.95,,,
453,2881.44,,,
454,2879.97,,,
455,2878.45,,,
456,2876.88,,,
457,2875.31,,,
458,2873.75,,,
459,2872.27,,,
460,2870.9,,,
461,2869.61,,,
462,2868.49,,,
463,2867.64,,,
464,2867.09,,,
465,2866.87,,,
466,2867.08,,,
467,2867.28,,,
468,2867.43,,,
469,2867.51,,,
470,2867.51,,,
471,2867.39,,,
472,2867.18,,,
473,2866.97,,,
474,2866.74,,,
475,2866.53,,,
476,2866.26,,,
477,2865.93,,,
478,2865.53,,,
479,2865.13,,,
480,2864.76,,,
481,2864.41,,,
482,2864.06,,,
483,2863.59,,,
484,2862.99,,,
485,2862.25,,,
486,2861.36,,,
487,2860.35,,,
488,2859.25,,,
489,2858.13,,,
490,2857.04,,,
491,2855.89,,,
492,2854.72,,,
493,2853.43,,,
494,2852.08,,,
495,2850.68,,,
496,2849.36,,,
497,2848.18,,,
498,2847.09,,,
499,2846.04,,,
500,2844.94,,,
501,2843.82,,,
502,2842.66,,,
503,2841.53,,,
504,2840.44,,,
505,2839.49,,,
506,2838.73,,,
507,2838.08,,,
508,2837.4,,,
509,2836.69,,,
510,2835.84,,,
511,2834.77,,,
512,2833.6,,,
513,2832.46,,,
514,2831.44,,,
515,2830.72,,,
516,2830.42,,,
517,2830.45,,,
518,2830.89,,,
519,2831.3,,,
520,2831.47,,,
521,2831.61,,,
522,2831.68,,,
523,2831.82,,,
524,2832.02,,,
525,2832.29,,,
526,2832.52,,,
527,2832.61,,,
528,2832.64,,,
529,2832.69,,,
530,2832.88,,,
531,2833.22,,,
532,2833.75,,,
533,2834.31,,,
534,2834.75,,,
535,2834.99,,,
536,2835.06,,,
537,2835.1,,,
538,2835.22,,,
539,2835.47,,,
540,2835.92,,,
541,2836.61,,,
542,2837.34,,,
543,2837.97,,,
544,2838.39,,,
545,2838.37,,,
546,2838.0,,,
547,2837.43,,,
548,2836.53,,,
549,2835.61,,,
550,2834.78,,,
551,2833.93,,,
552,2833.13,,,
553,2832.35,,,
554,2831.57,,,
555,2830.84,,,
556,2830.09,,,
557,2829.39,,,
558,2828.78,,,
559,2828.19,,,
560,2827.59,,,
561,2827.03,,,
562,2826.43,,,
563,2825.75,,,
564,2825.08,,,
565,2824.49,,,
566,2823.84,,,
567,2823.16,,,
568,2822.44,,,
569,2821.72,,,
570,2820.97,,,
571,2820.26,,,
572,2819.68,,,
573,2819.31,,,
574,2819.15,,,
575,2819.23,,,
576,2819.34,,,
577,2819.31,,,
578,2819.2,,,
579,2819.03,,,
580,2818.98,,,
581,2819.0,,,
582,2819.08,,,
583,2819.23,,,
584,2819.41,,,
585,2819.51,,,
586,2819.64,,,
587,2819.73,,,
588,2819.69,,,
589,2819.57,,,
590,2819.38,,,
591,2819.07,,,
592,2818.84,,,
593,2818.72,,,
594,2818.75,,,
595,2818.84,,,
596,2819.08,,,
597,2819.33,,,
598,2819.54,,,
599,2819.65,,,
600,2819.63,,,
601,2819.58,,,
602,2819.45,,,
603,2819.24,,,
604,2819.07,,,
605,2819.01,,,
606,2819.18,,,
607,2819.68,,,
608,2820.58,,,
609,2821.75,,,
610,2823.06,,,
611,2824.36,,,
612,2825.61,,,
613,2826.77,,,
614,2827.93,,,
615,2829.29,,,
616,2830.77,,,
617,2832.4,,,
618,2834.29,,,
619,2836.29,,,
620,2838.33,,,
621,2840.45,,,
622,2842.43,,,
623,2844.25,,,
624,2845.92,,,
625,2847.45,,,
626,2848.85,,,
627,2850.14,,,
628,2851.47,,,
629,2852.76,,,
630,2854.09,,,
631,2855.37,,,
632,2856.75,,,
633,2858.21,,,
634,2859.57,,,
635,2860.8,,,
636,2861.87,,,
637,2862.75,,,
638,2863.42,,,
639,2864.01,,,
640,2864.41,,,
641,2864.69,,,
642,2864.91,,,
643,2865.09,,,
644,2865.29,,,
645,2865.41,,,
646,2865.44,,,
647,2865.42,,,
648,2865.23,,,
649,2864.99,,,
650,2864.76,,,
651,2864.49,,,
652,2864.26,,,
653,2864.04,,,
654,2863.86,,,
655,2863.69,,,
656,2863.54,,,
657,2863.54,,,
658,2863.57,,,
659,2863.75,,,
660,2863.99,,,
661,2864.23,,,
662,2864.35,,,
663,2864.3,,,
664,2864.31,,,
665,2864.33,,,
666,2864.3,,,
667,2864.2,,,
668,2864.11,,,
669,2863.95,,,
670,2863.82,,,
671,2863.77,,,
672,2863.8,,,
673,2863.86,,,
674,2863.86,,,
675,2863.84,,,
676,2863.75,,,
677,2863.65,,,
678,2863.58,,,
679,2863.51,,,
680,2863.43,,,
681,2863.34,,,
682,2863.19,,,
683,2862.97,,,
684,2862.65,,,
685,2862.23,,,
686,2861.77,,,
687,2861.31,,,
688,2860.87,,,
689,2860.49,,,
690,2860.19,,,
691,2860.01,,,
692,2859.76,,,
693,2859.44,,,
694,2858.93,,,
695,2858.25,,,
696,2857.44,,,
697,2856.59,,,
698,2855.6,,,
699,2854.55,,,
700,2853.49,,,
701,2852.63,,,
702,2851.83,,,
703,2851.14,,,
704,2850.5,,,
705,2849.95,,,
706,2849.59,,,
707,2849.25,,,
708,2848.79,,,
709,2848.12,,,
710,2847.19,,,
711,2846.11,,,
712,2844.95,,,
713,2843.88,,,
714,2842.82,,,
715,2842.08,,,
716,2841.38,,,
717,2840.68,,,
718,2839.99,,,
719,2839.26,,,
720,2838.52,,,
721,2837.69,,,
722,2836.85,,,
723,2836.1,,,
724,2835.46,,,
725,2834.98,,,
726,2834.63,,,
727,2834.25,,,
728,2833.78,,,
729,2833.36,,,
730,2833.08,,,
731,2832.86,,,
732,2832.84,,,
733,2832.89,,,
734,2832.97,,,
735,2832.89,,,
736,2832.67,,,
737,2832.46,,,
738,2832.44,,,
739,2832.79,,,
740,2833.53,,,
741,2834.53,,,
742,2835.79,,,
743,2837.19,,,
744,2838.75,,,
745,2840.17,,,
746,2841.56,,,
747,2842.98,,,
748,2844.38,,,
749,2845.67,,,
750,2846.88,,,
751,2848.12,,,
752,2849.62,,,
753,2851.21,,,
754,2852.86,,,
755,2854.5,,,
756,2856.13,,,
757,2857.8,,,
758,2859.69,,,
759,2861.52,,,
760,2863.19,,,
761,2864.6,,,
762,2865.69,,,
763,2866.66,,,
764,2867.71,,,
765,2868.93,,,
766,2870.29,,,
767,2871.66,,,
768,2873.02,,,
769,2874.3,,,
770,2875.46,,,
771,2876.57,,,
772,2877.64,,,
773,2878.65,,,
